email_domain,Company Website,company,industry,mx_provider,leads_count,Website Summary
ciatrucking.com,https://www.ciatrucking.com,Cia Trucking,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,
cincydist.com,https://www.cincydist.com,Cincinnati Packaging-Dist Inc,Warehousing and Storage,Google Workspace,3,
cio.net,https://www.cio.net,Cionet,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,
ciopartners.com,https://www.ciopartners.com,Cio Partners,HR and Recruiting Services,Custom/Self-hosted,3,"Summary: CIO Partners positions itself as the “#1 Firm for Technology Leadership Talent,” offering access to technology leaders through a model and strategies built by a former CIO. It claims to provide vetted, motivated technology leaders for client partners, with a focus on speed (placing in less than half the time of a traditional search firm or in-house recruiting team) and a large national network of over 2,000 technology and digital leaders. The firm emphasizes relationships and a national network of referral bases and passive executive lists. Its process is described as helping clients assess finalist technology executive candidates and identify a single individual who has the required functional expertise and aligns with the client’s business culture. Client satisfaction is tracked via the Net Promoter Score process. Roles filled include Chief Information Officer, Chief Technology Officer, Chief Information Security Officer, Chief Digital Officer, Chief Data Officer, and interim leaders; VP and director-level roles across functional areas in technology, including Business Intelligence & Data Analytics, Information Security & Cybersecurity, Digital Technology, Application Development, Architecture, Infrastructure, Product Development & Software Engineering, Operations, and All Other Functional Areas. Services offered are Executive Search (niche practice for hiring top technology leadership at CxO, VP, and Director levels), Interim Leadership (CIOs and technology/digital leaders to assist with organizational strategies, best practices, and project execution), and Recruitment Strategies (designing customized, integrated solutions for recruiting top talent across the enterprise). The page does not specify exact geographic markets served beyond implying a national network, nor does it provide pricing models, contract structures, or explicit ICP characteristics beyond the general target of technology leadership roles; it does not specify industry sectors served, preferred buyer roles beyond executive/ VP/Director for technology leadership, nor any case examples, metrics beyond the Net Promoter Score and the stated network size. Explicitly not provided: ICP specifics beyond “technology leadership talent” and senior technology roles; geographic markets; explicit pricing or contract terms; industry sectors served; and detailed proof besides the Net Promoter Score reference and the stated network size."
cir.net,https://www.cir.net,California Industrial Rubber Co,Warehousing and Storage,Custom/Self-hosted,3,"Summary:
California Industrial Rubber (CIR) provides industrial rubber and plastic products and services for agricultural, commercial, and industrial markets. Core specialization is the supply and fabrication of industrial rubber and plastic products, including hoses, fittings, belts, plastics, and related components, with in-house fabrication capabilities such as custom belt production, extrusion processes, and a steel fabrication shop. Services, programs, and offerings explicitly mentioned include conveyor belts and lacing; protective clothing and footwear; adhesives, aerosols, coatings & lubricants; bearings & power transmissions; rubber, foam and sponge; custom belt department; extrusion processes; in-house fabrication; die-cut parts from various industry materials; hullers, nursery carts, fertilizer and nut loaders, sort tables, platforms, chutes, and replacement parts for nut harvesting and harvesting equipment; 24/7 product support; seven full-service branch locations. Explicit ideal client characteristics are not directly stated; however, the company serves agricultural, industrial, and commercial markets in California, Nevada, and beyond, with branches in Fresno, Bakersfield, Merced, Tulare, Yuba City (CA) and Sparks, Carlin (NV). Targeted buyers or departments are not explicitly named. Differentiation claims include long-standing experience since 1958, a large in-house inventory and fabrication capabilities giving control over quality and durability, and a nationwide reach beyond regional borders. Delivery model and pricing structure are not explicitly described. Geographic markets served explicitly stated: California and Nevada, with clients ""beyond"" these locations. No certifications, rankings, or numerical metrics are provided beyond the year of establishment (1958) and mention of “many employees having over 15 years of service.” No explicit statement about ICP, scale, or proof beyond these facts is provided. If ICP or explicit differentiation details are required, they are not provided beyond the described service scope and in-house capabilities."
circledelivery.com,https://www.circledelivery.com,Circle Delivery Inc,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,
cisrecruiters.com,https://www.cisrecruiters.com,Corporate Information Systems Inc.,HR and Recruiting Services,Custom/Self-hosted,3,"CIS Talent Recruiting (Corporate Information Systems) is a recruitment firm that positions itself as placing talent where they can thrive, emphasizing long-term relationships and quality over quick fixes. It states it has three decades of experience forging client–candidate relationships and offers targeted staffing solutions intended to carry clients into a successful future. The firm provides executive search and targeted sourcing services across multiple industries.

Explicit services and offerings:
- Executive Search: end-to-end executive search process starting with a consultation, profile crafting of ideal candidate covering market segment, experience, and personality, screening responses until top C-suite candidates are found.
- Targeted Sourcing: strategic talent placement across industries; sourcing candidates to match client needs; processes described as proven hiring and recruiting methods.
- Industry-specific solutions within Targeted Sourcing, including:
  - Technology: SaaS, Cyber Security, Artificial Intelligence
  - Food & Beverage: production line experts, leadership talent
  - Cannabis: staff for executives, experts, and staff
  - Construction: matching candidates and skills with roles
  - Healthcare: qualified healthcare talent placements
- Candidate placement process described as leveraging industry contacts to help find and secure the perfect role
- True Partnership: description of in-house specialists, no outsourcing, based in New Jersey
- Focus on placing software and food & beverages professionals

Ideal client characteristics (explicit):
- Companies seeking to build a strong, high-ROI team; “your people are your most valuable asset”
- Clients seeking targeted staffing solutions and long-term partnerships
- Companies in Technology, Food & Beverage, Cannabis, Construction, and Healthcare industries
- Organizations that value quality and longevity over rapid hires

Geography and market information:
- In-house team based in New Jersey; no explicit geographic market coverage beyond location of staff
- No explicit geographic markets or limitations for client services beyond stated base

Differentiation and proof:
- Claims three decades of relationships and a focus on quality over quantity, longevity over quick fixes
- Describes itself as “one of America’s best recruiting firms” (featured on)
- Emphasizes end-to-end executive search process and tailored sourcing across industries as differentiators
- Explicit differentiator: in-house specialists with no outsourcing; dedicated to a single service area (placing software and food & beverages professionals)

Engagement model and pricing:
- Describes partnership-based approach and dedicated consultants; no outsourcing
- No explicit pricing model, contract terms, or engagement pricing provided

Proof, metrics, and outcomes:
- Client testimonial: “They have always provided me with top candidates, who have consistent records of over-achieving their objectives.” (Scott Shander, VP AppDynamics)
- “30+ years” of matching candidates with technology and food & beverage companies mentioned

What is not provided:
- Specific ICP beyond general descriptions of industries and roles; no explicit buyer roles or departments named
- Detailed geographic markets served beyond New Jersey-based team
- Concrete pricing, contract structures, service level agreements, service footprints, or scalability metrics
- Exhaustive list of all services or offerings beyond Executive Search and Targeted Sourcing with industry"
citilog.com,https://www.citilog.com,Citilog,Transportation & Storage Other,Custom/Self-hosted,1,"Citilog provides video-based Automatic Incident Detection (AID) solutions for transportation infrastructure, including tunnels, bridges, and highways. The company claims hardware-agnostic, quick-to-deploy, easy-to-use AI-driven video analytics for fast and reliable incident detection, enabling real-time alerts and rapid response to improve safety and traffic efficiency. Citilog states over 60,000 cameras installed globally across 70+ countries, with more than 1,600+ implementations and over 25 years of experience in Automatic Incident Detection. It highlights partnerships as an Axis Technology Integration Partner and references real-world use such as early warning leading to the closure of a French tunnel before a fire fully broke out, and a feature in ITS International (October 2025) about early warning and swift response in a French road tunnel. Applications cited include Intelligent Incident Detection in Tunnels, Detection On Open-roads, Detection On Bridges, and Counting & Classification. The company directs readers to case studies and a contact page for engagement. It does not specify pricing, contract structures, delivery models, or explicit ICP criteria beyond implying customers needing incident detection for road transportation infrastructure. Geographic markets serve worldwide, with deployment in 70+ countries. It mentions events and conferences (Mobil’in Pulse Congress in Paris 2026, 13th Tunnel Safety and Ventilation Graz 2026) but does not provide regional limitations beyond global部署. Explicit proof includes deployment metrics, years of operation (over 25 years), and a named case example; no explicit ICP characteristics such as industry verticals, buyer roles, or organization sizes beyond generic transportation authorities or operators. The content does not specify explicit ICP criteria beyond targeting authorities or operators responsible for road tunnels, bridges, and highways; it does not provide explicit buyer roles or departments. It differentiates itself as a leading supplier with extensive worldwide deployments, hardware-agnostic AI analytics, and Axis integration partner status. It does not provide detailed delivery, pricing, or contract structures. It does not provide explicit geographic limitations beyond worldwide deployment. It provides real-world case mention and press feature as proof."
cityhaul.com,https://www.cityhaul.com,City Haul Inc,Freight Hauling (Rail and Truck),Custom/Self-hosted,1,"Cityhaul offers junk removal and odd jobs services. The primary contact provided is 780-288-4285 (HAUL) with an email address email@cityhaul.com and a mobile-only call option. The site provides a Prices page and an Email page, but no additional service details are visible in the provided text beyond ""Junk Removal & Odd Jobs!"" The page emphasizes the slogan ""WE LOAD, WE HAUL."" No explicit years, metrics, case examples, certifications, rankings, geographic markets, ICP characteristics, industries served, buyer roles, engagement structure, pricing model, contract structure, or proof are stated beyond the existence of a Prices page and contact information. Based on the explicit content, there is no clear articulation of the ideal customer profile, core specialization beyond junk removal and odd jobs, or differentiation beyond the ""WE LOAD, WE HAUL"" claim. The only geographic or market information explicitly stated is not provided in the text. Therefore, ICP, specialization, geography, scale, and proof are not provided in the text."
citylogistics.com,https://www.citylogistics.com,City Logistics Services,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,"City Logistics Services is a family-operated freight brokerage and trucking company based in Nashville, TN, with more than 25 years in business. It ships freight to and from anywhere in the lower 48 States and Canada. The company positions itself as handling shipments every step of the way with 24/7 personalized service and competitive pricing. They offer a quote through a ""Get a Quote Today"" workflow and provide a same-day quote option.

Core operational focus and services: 
- Freight shipping and transportation management, including arranging every step of a shipment and managing it 24/7. 
- Truckload shipments, regional and long-haul carrier base, flatbed trucking, volume shipments, and door-to-door expedited service. 
- Dedicated shipments within a dedicated truck that is handling only the customer’s freight.

Engagement model and delivery: 
- One phone call away for a hands-off, worry-free freight shipping process.
- Get a quote, with responses to quote requests within hours. 
- They claim to take care of the shipment from start to finish, with arrival intact and on time.

Pricing, differentiation, and ICP: 
- Emphasizes competitive pricing and honesty, integrity, and care; describes itself as treating customers as family. 
- Claims 25+ years of experience and being trusted.

Geography and markets: 
- Serves shipping to and from anywhere in the lower 48 States and Canada; based in Nashville, TN.

Explicit proof and metrics: 
- More than 25 years in business; 24/7 personalized service; stated delivery of on-time shipments and cost effectiveness; 25+ years of trust.

ICP, specialization, geography, scale, and proof that are not explicitly provided: 
- The homepage does not provide a clearly defined ideal customer profile (ICP) in specific industry, size, or role; it mentions general freight and various shipment types but does not specify target industries, company sizes, or roles to buy. 
- There is no explicit case example, certification, ranking, or third-party proof beyond company tenure and service claims. 
- No explicit contract type, pricing structure beyond mention of competitive pricing, or explicit engagement models beyond “one phone call away,” quotes, and 24/7 management. 
- While geographic reach is described, there is no detail on limitations beyond “lower 48 States and Canada.” 
- No explicit mention of customer sectors beyond “large industrial products to consumer goods” and “freight shipments.”"
citymovingsystems.com,https://www.citymovingsystems.com,City Moving Systems Inc,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,
cityx.com,https://www.cityx.com,City Garment Carriers Inc,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,"City Logistics Transport is a full-service local carrier, consolidator, and freight broker specializing in customized logistics solutions for the retail industry. It operates a dedicated fleet with realtime dispatch technology and instant proof of delivery, serving the Southern California market with a 110,000 square foot distribution center located in Carson, CA, near the ports and LAX. Its services include LTL freight consolidation, interstate freight brokerage for over-the-road and intermodal, truckload same day and next day moves in the LA market (live load/unload and drop and hook), pool distribution, container transloads, inbound/outbound 3PL services including labeling, pick and pack, and storage, as well as consolidation services in the greater LA area and throughout Southern California with daily dispatch from San Diego to Ventura County and other areas in between, plus pickups in Central and Northern California through contracted agents. It offers truckload services nationwide with relationships with carriers across the United States, including over-the-road, team service, and intermodal options. It provides shipment tracking with real-time online tracking of schedule pickups, on-hand freight, and trailer releases, with shipment-level detail including BOLs and packing lists. It positions itself as a licensed and bonded carrier and broker in dedicated fleet and brokerage divisions, offering 3PL services (transload, inbound/outbound, DC bypass, labeling, and fulfillment). It emphasizes a fully secure yard and warehouse with 24/7 on-site guards and a customer service center open 8am–6pm PST, Monday–Friday, and main line contact at 310-223-1010. Its target client characteristics are implied as retailers needing fast and accurate consolidation, freight forwarding, and local delivery, with emphasis on those requiring 3PL, labeling, pick and pack, storage, and warehouse services in Southern California and nearby regions. The page mentions owner/operator opportunities seeking safe, reliable carriers for long-term relationships with competitive rates, consistent freight, and partnership opportunities. Explicit geographic focus is Southern California (Los Angeles basin and surrounding area) with some coverage into Central/Northern California via contracted agents, and nationwide brokerage capabilities. Explicit proof or metrics include a 110,000 square foot distribution center, a 24/7 secure yard, and real-time shipment tracking; no customer case studies, rankings, years beyond the 2026 copyright, or additional quantitative proofs are provided. The ICP, specialization, differentiation, geography, scale, and proof are explicitly provided for the stated facilities, services, and operations; no information is provided about pricing models or specific contract structures beyond general service descriptions."
civichelicopters.com,https://www.civichelicopters.com,Civic Helicopter Inc.,Air Couriers and Cargo Services,Google Workspace,2,
ckmstaffing.com,https://www.ckmstaffing.com,"Ckm Staffing, Inc.",HR and Recruiting Services,Yahoo,3,
claremontcenterselfstorage.com,https://www.claremontcenterselfstorage.com,Claremont Center Self Storage,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,"Summary: Claremont Center Self Storage offers self-storage solutions with a well-maintained, clean, and well-lit facility for comfort and security. It provides storage options in 13 different unit sizes ranging from 5×15 to 10×30 to accommodate short-term or long-term storage needs. The facility serves homeowners, renters, and businesses seeking a convenient location to keep belongings safe and secure. It is positioned as suitable for storing a few boxes or the entire contents of a home during a move. The site mentions a page to view units and rates, and a facility with various features intended for storage and convenience. It includes a FAQ section addressing renting, access, or packing, and a dedicated Units & Rates page with unit sizes, rates, and availability. Explicit stated ICP, core specialization, primary focus, programs, pricing model, delivery model, geographic markets, industries served, targeted roles or departments, certifications, metrics, proof, or explicit differentiation beyond general facility features are not provided. Explicit differentiation is not detailed beyond cleanliness, security, convenience, and well-maintained, well-lit facility. No years, metrics, case examples, certifications, rankings, or explicit geographic limitations are stated beyond a single facility location implied by the address."
clarisofttechnologies.com,https://www.clarisofttechnologies.com,Clarisoft Technologies,HR and Recruiting Services,Google Workspace,3,"Modus Create offers end-to-end product strategy and engineering services tailored to business needs, focusing on building new software products, modernizing existing systems, and scaling capabilities. Core specialization is product engineering and related practices (data engineering, AI and machine learning, strategy and design, platform engineering) aimed at enabling rapid development, deployment, and AI-enabled experiences. Services and offerings include Product Engineering; Data Engineering; AI & Machine Learning; Strategy and Design; Platform Engineering, with specific pages for each service. Additional content references new research on AI in product development and thought leadership through blogs, reports, and webinars. Explicit client-facing claims include value metrics such as $10B value created, 200+ products launched, and 10M users engaged. Case examples or client testimonials are present (e.g., quotes from Thomas Hufener, Mark Quigley, Sapna Aggarwal, Lorenz Schweiger) but no detailed client industries or sectors are specified. The explicit ideal client profile (ICP) or target buyer characteristics are not provided beyond general statements that they build, modernize, and scale for product-focused outcomes; no specific industries, geographies, company sizes, roles, or departments are named as buyers. Geographic markets or delivery locations are not explicitly stated. The delivery model, engagement structure, pricing model, or contract structure are not explicitly described. No explicit certifications, rankings, or regulatory proofs are provided beyond performance metrics and client testimonials. If any ICP, specialization, geography, scale, or proof are not provided, that is not stated beyond the absence of explicit detail in the text."
clarkcubed.com,https://www.clarkcubed.com,Clark Cubed,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,
clarksearch.com,https://www.clarksearch.com,Clark Executive Search,HR and Recruiting Services,A-record Fallback,3,"Summary:
The site offers online inquiry services through a platform that allows users to input query content to access detailed queries via a platform. It presents a 24-hour hacker service with a professional hacker team available to take orders online, providing fast, precise location tracking and targeted positioning. The services advertised include mobile phone number tracking, real-time location queries, and “person search” positioning, advertised as not requiring software installation, quick and precise location results, and covert tracing capabilities. It states a quick response and efficient query processing system, with data protection measures described as strict. The platform emphasizes a 24-hour online order-taking capability, covert, single-click location tracking, and a range of services including professional hacker support, safe protection services, and security guarantees. It claims professional hacking position tracking, on-demand online ordering, and 24/7 availability. It mentions “no authorization required” positioning and covert tracking as features. It also lists related keywords: 24-hour hacker service, rapid location tracking, professional person-finding services, hacker technical support, and discreet position queries. The site does not specify concrete ICP details, geographic markets, industries served, client roles, pricing, contracts, metrics, certifications, or proof. It does not provide explicit information on target buyers, geographic scope, or quantifiable evidence. It provides no explicit years, case examples, or certifications. Overall, explicit ICP, specialization, differentiation, geography, scale, or proof are not provided."
classicafrica.com,https://www.classicafrica.com,Classic Africa,HR and Recruiting Services,Custom/Self-hosted,3,"Classic Africa offers luxury safari planning services in Southern Africa, specializing in tailor-made African photographic safaris for individually minded travelers, families, and groups of friends. They design itineraries in conjunction with the traveler at no additional cost, aiming to avoid large-group packaged tours. The company emphasizes immersive, authentic experiences with a focus on wildlife, scenic beauty, and cultural heritage, and highlights Abu Camp in Botswana’s Okavango Delta as a featured property, noted for interactive elephant safari experiences. Classic Africa was founded in 1999 by two Oxford Ph.Ds. The firm positions itself as providing bespoke, exclusive safaris with firsthand expertise and a mission aligned with nature conservation and community empowerment. The site invites direct contact via phone and email for information. Geographic scope referenced includes Botswana (Okavango Delta) as a specific destination; no explicit listing of additional markets or geographic limitations beyond Southern Africa. Explicit proof or metrics (e.g., case studies, certifications, rankings) are not provided beyond the founder background and the featured property. No ICP, specialization, differentiation, geography, scale, or proof are quantified beyond these statements."
classicairinc.com,https://www.classicairinc.com,Classic Air,Air Couriers and Cargo Services,Custom/Self-hosted,3,"Classic Air Inc provides HVAC services in Columbus, Ohio, including 24/7 emergency support and general heating and cooling services. They offer AC repair in Columbus, emphasizing reliability and finishing the job correctly the first time, with services for routine maintenance and emergency repair. They promote an annual maintenance plan for air conditioning systems and AC installation when repairs are insufficient, aiming to choose equipment suitable for the home and budget. The company positions itself as a long-standing local provider since 1978, with a focus on customer comfort and prompt service. They highlight Lennox partnership elements: up to $1,800 in rebates via Lennox Ultimate Comfort System or qualified buyers may finance with no payments and no interest for 12 months when financing a Lennox system; rebates are paid as a Lennox Prepaid Mastercard. They hold a Lennox Training Excellence Award and are described as a Lennox Premier Dealer. They advertise service coverage in Columbus and surrounding areas, listing Bexley, Blacklick, Canal Winchester, Columbus (incomplete in the text), and indicate service availability regardless of time or day. The site emphasizes professional staff trained to address HVAC problems and to provide energy-efficient systems from Lennox. Explicit stated ICP or target buyer personas, industries served, specific buyer roles, delivery or pricing models beyond the financing/rebate details, and proof metrics beyond the awards and dealer status are not explicitly provided. If precise ICP, geography beyond Columbus and listed areas, or detailed engagement structures are required, such information is not provided on the page."
classicautomotiverestoration.com,https://www.classicautomotiverestoration.com,Classic Automotive Restoration,Transportation & Storage Other,Custom/Self-hosted,2,"The site title is classicautomotiverestoration.com. The provided text lacks explicit factual content beyond the homepage links and placeholders. There is no concrete description of services, programs, offerings, ICP, industries served, buyer personas, engagement models, pricing, geographic markets, metrics, certifications, case examples, or proof. The only explicit items are navigational links labeled “Click here to enter” and generic domain references. Therefore, no explicit ICP, specialization, differentiation, geography, scale, or proof is provided. The page does not state delivery models, contract structures, or any other detailed information. As such, none of the requested factual details can be extracted from the provided text. If more substantive content from the site is supplied, a precise, factual summary can be produced."
claytonpersonnel.com,https://www.claytonpersonnel.com,Clayton Personnel Services Inc,HR and Recruiting Services,Google Workspace,3,"Clayton Services is a Houston-based staffing agency and recruiting firm established in 1984 that provides direct hire recruiting, temp-to-hire staffing, temporary staffing, payrolling, executive search, and onsite & RPO services for employers in energy, engineering, accounting, legal, administrative, HR, supply chain, sales, marketing, light industrial, and skilled trades. It operates with two Houston locations serving employers across the Houston area and emphasizes that its recruiters live and work in the Houston market. The company offers a 180-day direct hire replacement guarantee and a 100% satisfaction guarantee on every temporary placement. Services specifics include Direct Hire Recruiting (permanent placements for professional, technical, administrative, and leadership roles with up to 180-day replacement guarantee), Temp-to-Hire Staffing, Temporary Staffing (pre-screened, with 100% satisfaction guarantee and replacement at no charge if not working), Payrolling Services (employer of record handling payroll, taxes, workers' comp, and compliance), Executive Search (retained and contingency for VP, Director, C-suite, and senior leadership across energy, engineering, finance, and operations), and Onsite & RPO (embedded recruiting support and recruitment process outsourcing for high-volume or specialized hiring). Industries explicitly supported include Engineering, Light Industrial & Warehouse, Accounting & Finance, Human Resources, Skilled Trades, Sales, Legal, Oil & Gas / Energy, Supply Chain & Logistics, Administrative & Clerical, Medical Administrative, Information Technology, Customer Service, and Marketing. The stated ideal client characteristics are Houston-based employers requiring staffing and recruitment services with capabilities across the listed industries; however, no explicit client profile details, buyer roles, pricing, or contract structures are provided beyond the guarantees. Geographic scope is explicitly Houston and greater Houston, with two locations; there is no mention of services outside the Houston market. Proof or metrics cited include 40+ years in business (since 1984) and the 180-day direct hire guarantee plus 100% temporary placement satisfaction guarantee. Explicitly not provided: any further ICP details beyond industry and locality, specific buyer roles beyond general departments, pricing models, or other geographic markets outside Houston."
cleaire.com,https://www.cleaire.com,"Cleaire Advanced Emission Controls, LLC",Transportation & Storage Other,Custom/Self-hosted,3,
clearfit.com,https://www.clearfit.com,Clearfit,HR and Recruiting Services,Zoho,3,"TOGEL158 presents itself as a Toto Togel online platform describing itself as a trusted Toto Togel site with official acquisition and aesthetic framing. It claims to provide login access via main and official alternative links for 2026, with real-time updated data on past draws and results. The site emphasizes security through a modern anti-hacking system and claims accessibility from multiple countries, including Indonesia. It markets features such as fast, stable access, an intuitive responsive interface, and reliable service for Indonesian users. It lists multiple markets: Toto Macau Pools, Singapore Lotto, Hongkong Lotto, Sydney Lotto, and Cambodia Lotto, with stated draw frequencies and local closing times. The content includes steps for joining (visit official login, register, verify account, deposit, play) and notes a deposit starting at 10,000 IDR. It repeatedly promotes official, trusted links and access through alternate official links, and provides a shopping-like SKU/price presentation for a product (TOGEL158) with an associated SGD price and installment option. The page offers explicit statements of being a licensed, legitimate platform with validated results and real-time market data, plus security assurances. It claims the service targets users from Indonesia and highlights fast, stable access and user-friendly interface as differentiators. No explicit ICP segments, buyer roles, geographic markets beyond Indonesia and multi-country access, formal certifications, metrics, case examples, or concrete pricing contracts beyond deposits and a SGD price are provided. The content does not offer detailed proof such as regulatory certifications beyond “lisensi bermain resmi,” nor does it provide explicit organizational structure, client profiles, or measurable success cases."
clickandpark.com,https://www.clickandpark.com,Click and Park,Transportation & Storage Other,Google Workspace,2,
clicktime.com,https://www.clicktime.com,ClickTime.com,HR and Recruiting Services,Google Workspace,3,"ClickTime provides a time-tracking and labor-cost data platform that transforms hours into finance-ready data for billing, budgeting, cost control, and compliance across teams. It categorizes time entries at entry (billable, CapEx, R&D) and supports approval workflows, complete change history, and instant reporting to produce defensible records for audits, R&D tax credits, client billing disputes, and grant compliance. The product integrates with ClickTime timesheets, Jira, Google and Outlook events, and expenses, time off, ERP/GL, FP&A, HR/Payroll systems, and other integrations, enabling time, expenses, time off, ERP/GL, FP&A, and HR/Payroll data to feed finance systems. It offers a self-guided tour experience, and emphasizes features such as Smart Match, audit trails, and instant reporting. The company highlights metrics including 40M+ hours tracked annually, $2.3B costs recovered annually, 99% customer satisfaction, and 50+ integrations. It targets organizations with technical teams, professional services firms, and nonprofit organizations, providing solutions to make labor costs visible, automate CapEx/OpEx classification, capture every billable hour, prevent project overruns, generate client reports, track grant-restricted time, and prove compliance. The ICP explicitly references large organizations with staff counts (example cited: a client with over 500 staff) and mentions use by thousands of companies of all sizes. Explicit buyers or departments targeted include finance, HR, operations, FP&A, and project management roles (e.g., VP of HR and Operations). The company presents itself as purpose-built for labor-cost data rather than generic time tracking, offering finance-ready data with categories such as projects, clients, or cost centers, and direct integration into finance systems without spreadsheet cleanup. It states geographic or market limitations or expansions are not specified. It provides free training announcing a forecasting framework used by FP&A leaders and offers demos. No explicit pricing model or contract structure is stated. It does not specify geographic markets served beyond general references to thousands of companies and global applicability. It does not provide explicit certification programs or recognized third-party rankings beyond internal metrics and testimonials. It does not specify whether ICP, specialization, differentiation, geography, scale, or proof are otherwise limited or absent beyond the stated examples and metrics. Summary: details above."
climber.com,https://www.climber.com,Climber,HR and Recruiting Services,Custom/Self-hosted,2,"Climber.com is a career platform that connects job seekers with recruiters, hiring managers, and business owners. The site offers a resume/career brand building service: “Stand Out! Build a brand that gets recruiters attention,” with a California-based design team to create a career website representing the member. It provides a directory of 430,000 decision makers for networking: members can send their resume and a LinkedIn invite to recruiters, hiring managers, and business owners from this directory. It grants early access to thousands of jobs not yet on public boards and provides an interface to manage applied jobs and track where resumes were sent. The platform claims 430,000+ recruiters, hiring managers, and business owners; 2,500,000+ private and public jobs updated daily; 50,000+ recruiter searches per month from Google, Bing, and Yahoo; and 50,000+ social media posts and LinkedIn invites sent each month for members. The service is delivered online with an emphasis on building a career website and expanding LinkedIn networks. It states customer service is handled by email due to COVID-19. The explicit ideal client characteristics, ICP, and explicit geographic markets or limitations are not clearly provided beyond the claim of a California-based design team and a global online platform. No specific pricing, contract terms, or geographic markets beyond the online/global scope are stated. No certifications, rankings, or case studies are provided beyond testimonial quotes from users described as Climber Premier Users. The page lists industries for selection (Accounting & Finance, Arts, Clerical, Construction, Customer Service, Education, Engineering, Healthcare, HR, IT, Legal, Marketing, Manufacturing, Real Estate, Sales, Science, Transportation, etc.) and occupation fields with salary ranges, but does not tie these to a defined ICP beyond general job-seeking and recruitment activities. Explicit differentiation includes branding and a large recruiter network, one-click resume/LinkedIn invites, and early access to jobs, plus a California design team for career branding. No information on delivery model, pricing, or contract structure is provided beyond signup and email-based support."
closeencounters.biz,https://www.closeencounters.biz,Close Encounters,HR and Recruiting Services,Custom/Self-hosted,3,
closettecnj.com,https://www.closettecnj.com,Closettec,Warehousing and Storage,Google Workspace,3,"Summary:
Closettec is a New Jersey-based company that designs and manufactures custom closet and storage solutions. It positions itself as a family-built business serving New Jersey since 1989, with over 35 years of experience, a 10-year warranty, and installation included. The company emphasizes being one of the largest custom closet manufacturers in the USA and highlights 200+ five-star reviews from NJ homeowners. Services and offerings include custom-designed closets and organization products, a state-of-the-art closet showroom, and a process involving an initial in-home consultation, custom design with a detailed 3D model, preparation plan, and professional installation by a skilled team. The engagement process includes one-on-one designer collaboration and a no-obligation consultation. Geographic scope is New Jersey, with explicit emphasis on serving NJ families; no other geographic markets are stated. The company provides a free quote/consultation through a form and a contact phone number, and it provides articles about reach-in and walk-in closet designs in NJ. Explicit differentiators cited include local manufacturing in New Jersey, a long-standing family business heritage since 1989, a 10-year warranty, installation included, and a large number of customer reviews. The ICP (ideal customer profile) is not explicitly defined beyond targeting New Jersey homeowners needing custom closet and storage solutions; no explicit industries, sectors, roles, or departments as buyers are stated. The exact pricing model is not provided, nor is there a formal contract structure beyond the stated warranty and installation-included approach. No specific certifications or rankings beyond the claim of being “one of the largest custom closet manufacturers in the USA” and the 200+ five-star NJ reviews are provided. If ICP, specialization, geography, scale, or proof are intended to be stated, they are not explicitly defined beyond the above."
cloudtours.com,https://www.cloudtours.com,Cloud Tours Inc,HR and Recruiting Services,Custom/Self-hosted,3,"Summary:
Cloud Tours presents as a travel platform listing destinations and city-specific tour pages across Greece and Italy, including numerous named locales (e.g., Athens, Santorini, Mykonos, Crete, Corfu, Rhodes, Naples, Florence, Capri, Sicily cities, etc.). The page organizes destinations by region and city, providing direct links to individual tours for each city. No explicit ICP, core specialization, services, programs, or offerings beyond the catalog of destinations and city tour pages are stated. There is no stated ideal client characteristics, industries served, buyer roles, engagement models, pricing, contract structures, geographic markets beyond Greece and Italy, metrics, case examples, certifications, or proof. The site explicitly differentiates itself only through a uniform listing of tour destinations under two country groupings (Greece, Italy) with city-specific tour links. No explicit delivery model, pricing model, or proof of performance is provided. If ICP, specialization, differentiation, geography, scale, or proof are provided, they are not present on this page."
clutchlegal.com,https://www.clutchlegal.com,Clutch Legal Staffing,HR and Recruiting Services,Custom/Self-hosted,3,
cmex.com,https://www.cmex.com,Colorado Mountain Express,Transportation & Storage Other,A-record Fallback,3,
